ID,latitude,longitude,max_power_kW,price_â‚¬/kWh,source
0,48.1411754,11.7367876,150,0.64,Public
1,50.324529,11.7849996,300,0.64,Public
2,50.9910821,7.84167334,300,0.64,Public
3,52.17403,11.49524,300,0.64,Public
4,54.47766,9.54508,300,0.64,Public
5,52.27878,9.35073,300,0.64,Public
6,49.84,8.14348,300,0.64,Public
7,53.06713,12.533,300,0.64,Public
8,53.38083,11.62645,300,0.64,Public
9,53.52549,8.62171,150,0.64,Public
10,48.04249,10.6203,300,0.64,Public
11,53.83249,10.65118,150,0.64,Public
12,47.81381,12.36653,300,0.64,Public
13,48.99549,12.15123,300,0.64,Public
14,52.23778,8.16322,300,0.64,Public
15,48.51072,11.58235,300,0.64,Public
16,50.86574,11.7726,300,0.64,Public
17,51.69578,7.96634,300,0.64,Public
18,53.84584,9.93593,300,0.64,Public
19,51.4508,11.30511,300,0.64,Public
20,50.02655,8.58738,300,0.64,Public
21,49.92372,7.82567,300,0.64,Public
22,54.13767,12.11458,150,0.64,Public
23,51.00464,9.47938,300,0.64,Public
24,49.28836126,11.44208036,400,0.45,Public
25,48.94272075,10.91565173,200,0.45,Public
26,53.11922451,8.2581108,400,0.45,Public
27,51.55715834,8.1442734,400,0.45,Public
28,52.5441245,13.6475955,300,0.495,Public
29,49.2587569,10.5014947,300,0.495,Public
30,53.5057438,10.0896657,300,0.495,Public
31,49.6731419,8.5971889,300,0.495,Public
32,50.0373474,11.4906336,300,0.495,Public
33,49.3114106,11.0016065,300,0.495,Public
34,50.46912,8.137242,300,0.495,Public
35,49.9962903,7.6840649,300,0.495,Public
36,49.4447604,10.2505567,300,0.495,Public
37,48.8389558,12.1191611,300,0.495,Public
38,49.55016448,8.4499455,300,0.495,Public
39,49.00188113,12.36535482,300,0.495,Public
40,50.64683454,7.33748317,300,0.495,Public
41,48.4828669,12.0004695,300,0.495,Public
42,53.52110796,8.12362293,300,0.495,Public
43,51.0067107,9.4729239,300,0.495,Public
44,49.2719368,8.3387627,300,0.495,Public
45,53.7179712,9.7595943,300,0.495,Public
46,53.0878337,8.7122544,300,0.495,Public
47,49.6549327,8.3597696,300,0.495,Public
48,49.9934116,8.3862406,300,0.495,Public
49,54.0222582,12.2305996,300,0.495,Public
50,48.5055874,8.8270739,300,0.495,Public
51,51.1691478,6.8234855,300,0.495,Public
52,52.0019079,10.1351852,300,0.495,Public
53,51.5320517,7.4412015,300,0.495,Public
54,48.2505429,11.6068248,300,0.495,Public
55,51.91109591,13.79716013,300,0.64,Public
56,53.91072,11.75858,300,0.64,Public
57,53.95974,10.26103,300,0.64,Public
58,49.69866,11.06365,300,0.64,Public
59,51.89656,11.69218,300,0.64,Public
60,52.31148,10.82343,300,0.64,Public
61,50.89218,6.96647,300,0.64,Public
62,50.89345,12.946,300,0.64,Public
63,52.67353,9.68823,300,0.64,Public
64,50.46836,8.13826,300,0.64,Public
65,50.93452,11.3895,300,0.64,Public
66,51.40038,7.69776,300,0.64,Public
67,49.73350617,11.05660901,400,0.64,Public
68,51.76496,7.91239,150,0.64,Public
69,51.3992,12.19135,300,0.64,Public
70,48.45527,8.6996286,300,0.64,Public
71,53.91844,10.1285,300,0.64,Public
72,51.68328,8.72074,300,0.64,Public
73,52.60071,10.1075,300,0.64,Public
74,51.59755,8.51562,300,0.64,Public
75,51.50149,7.25802,300,0.64,Public
76,51.81781,6.44399,300,0.64,Public
77,50.01367,8.79465,300,0.64,Public
78,52.14666,7.73593,300,0.64,Public
79,48.15667,7.74506,300,0.64,Public
80,49.69840429,10.85445591,300,0.64,Public
81,53.53648,10.0648,300,0.64,Public
82,54.18047,9.94394,300,0.64,Public
83,51.17733,12.00934,300,0.64,Public
84,53.27503,10.40135,300,0.64,Public
85,52.3219724,10.47796024,300,0.64,Public
86,48.8506239,9.1054198,300,0.64,Public
87,51.6514,7.66276,300,0.64,Public
88,51.25601,12.72606,300,0.64,Public
89,51.50177,7.21276,300,0.64,Public
90,50.05456,11.62246,300,0.64,Public
91,52.49153,8.07849,300,0.64,Public
92,51.62018,6.20997,300,0.64,Public
93,51.31078,6.29085,300,0.64,Public
94,51.25635,9.4133,300,0.64,Public
95,51.37194,12.47537,300,0.64,Public
96,47.60761,9.58679,300,0.64,Public
97,51.49424,7.33896,300,0.64,Public
98,51.38562,12.38991,300,0.64,Public
99,53.33911,10.21962,300,0.64,Public
100,49.00011,12.14799,300,0.64,Public
101,52.59667,13.60025,300,0.64,Public
102,50.9769969,7.0072874,300,0.64,Public
103,48.51629,9.75942,300,0.64,Public
104,50.72478,12.77884,300,0.64,Public
105,48.27483,7.78526,300,0.64,Public
106,51.68925315,11.76663462,300,0.64,Public
107,47.84594,8.55537,300,0.64,Public
108,52.378145,13.311907,300,0.64,Public
109,51.55337,8.15854,300,0.64,Public
110,52.31446,13.66279,300,0.64,Public
111,51.88867,13.83739,300,0.64,Public
112,53.50231,11.09785,300,0.64,Public
113,53.8037,9.93882,300,0.64,Public
114,53.26267,7.75589,300,0.64,Public
115,51.22584,14.90219,300,0.64,Public
116,53.28856,9.50774,300,0.64,Public
117,53.11137372,8.75285667,300,0.64,Public
118,53.02066,8.68774,300,0.64,Public
119,51.73091498,9.97298577,300,0.64,Public
120,54.51897,9.46454,300,0.64,Public
121,49.21082802,9.07010597,300,0.64,Public
122,53.48987,10.11481,300,0.64,Public
123,51.47754,7.22776,300,0.64,Public
124,49.15742,11.04115,300,0.64,Public
125,52.20934,11.13259,300,0.64,Public
126,50.07203064,12.09714588,300,0.39,Public
127,52.30377477,8.03560384,300,0.39,Public
128,50.28914582,11.01873396,300,0.39,Public
129,49.64372423,8.36260846,300,0.39,Public
130,47.76620603,12.10592102,400,0.45,Public
131,53.51366897,9.9164335,400,0.395,Public
132,54.09272,9.92966,175,0.395,Public
133,54.06939646,9.98515322,175,0.395,Public
134,50.02959393,8.28472488,300,0.64,Public
135,51.0171705,10.1364101,300,0.64,Public
136,51.567159,7.674354,300,0.64,Public
137,50.96852535,11.85521064,300,0.64,Public
138,53.0449228,8.22013115,300,0.64,Public
139,53.04499142,8.22015298,300,0.64,Public
140,50.54654991,11.80362934,300,0.64,Public
141,51.38563,11.87943,300,0.64,Public
142,51.69217,11.76734,300,0.64,Public
143,51.17768,12.01086,300,0.64,Public
144,52.5977,13.60176,300,0.64,Public
145,53.50257,11.08753,300,0.64,Public
146,53.29823,11.533,300,0.64,Public
147,53.59906,9.84325,150,0.64,Public
148,54.18039,9.94314,300,0.64,Public
149,53.71855,9.75894,300,0.64,Public
150,53.65727,9.81385,150,0.64,Public
151,53.16141,9.47389,150,0.64,Public
152,53.0558,8.50128,300,0.64,Public
153,53.05439,8.50156,300,0.64,Public
154,53.00853,8.70577,300,0.64,Public
155,53.05942,9.16514,400,0.64,Public
156,53.09951,9.98189,300,0.64,Public
157,53.1093,9.984,300,0.64,Public
158,52.94497,9.88173,300,0.64,Public
159,52.48631,9.84509,300,0.64,Public
160,51.99626,8.59484,300,0.64,Public
161,50.73798,9.24639,300,0.64,Public
162,51.29028,6.80451,300,0.64,Public
163,51.07031,6.30264,300,0.64,Public
164,51.47613,7.15332,300,0.64,Public
165,51.63693,6.74697,300,0.64,Public
166,51.63582,6.74491,300,0.64,Public
167,51.389,6.24387,150,0.64,Public
168,52.06886,6.98517,150,0.64,Public
169,52.52832,7.19985,300,0.64,Public
170,50.95167,7.31803,300,0.64,Public
171,50.95195,7.32066,300,0.64,Public
172,50.82965,6.47601,300,0.64,Public
173,50.60393,7.33096,300,0.64,Public
174,49.6907,6.8996,300,0.64,Public
175,49.69018,6.89697,300,0.64,Public
176,50.06848,6.88033,300,0.64,Public
177,50.0019,8.10796,300,0.64,Public
178,49.92565,7.93501,400,0.64,Public
179,49.96344,7.76568,300,0.64,Public
180,49.83542,7.99602,400,0.64,Public
181,50.43911,7.64744,300,0.64,Public
182,50.52148,7.69559,300,0.64,Public
183,50.52295,7.67514,300,0.64,Public
184,50.31742,7.49789,300,0.64,Public
185,50.31658,7.49883,300,0.64,Public
186,50.45435,7.87298,300,0.64,Public
187,50.44773,7.85037,300,0.64,Public
188,50.42314,7.92839,300,0.64,Public
189,50.38222,7.26951,300,0.64,Public
190,50.8776,7.94575,300,0.64,Public
191,50.79276,7.87799,300,0.64,Public
192,51.54717,8.13346,300,0.64,Public
193,50.32997,8.93443,300,0.64,Public
194,49.81213,8.57935,300,0.64,Public
195,49.81247,8.57689,300,0.64,Public
196,49.89264,8.54391,300,0.64,Public
197,49.64315,8.552,300,0.64,Public
198,49.27041,8.15394,300,0.64,Public
199,49.26976,8.15181,300,0.64,Public
200,49.3171,8.57589,150,0.64,Public
201,48.50756,8.82821,150,0.64,Public
202,48.98309,10.19342,150,0.64,Public
203,49.32399,9.41218,150,0.64,Public
204,48.90799,8.77373,150,0.64,Public
205,49.16094,8.567,150,0.64,Public
206,47.99724,11.67594,300,0.64,Public
207,48.12757,10.83423,300,0.64,Public
208,47.8475,10.28277,300,0.64,Public
209,47.92453,9.53494,150,0.64,Public
210,48.58397,10.17572,150,0.64,Public
211,49.41097,11.54418,400,0.64,Public
212,49.31332,12.15875,300,0.64,Public
213,48.97292,12.06534,300,0.64,Public
214,49.62161,9.73093,150,0.64,Public
215,49.62668,9.72813,150,0.64,Public
216,52.52788,7.19652,300,0.64,Public
217,50.07014,6.88099,300,0.64,Public
218,50.15035,9.02948,300,0.64,Public
219,47.84821,10.28064,300,0.64,Public
220,53.99873903,9.92966721,300,0.39,Public
221,54.77935706,9.33365959,300,0.39,Public
222,54.777948,9.336671,300,0.39,Public
223,53.69252954,10.32026221,350,0.64,Public
224,53.299981,9.532557,350,0.64,Public
225,53.299087,9.53517,350,0.64,Public
226,52.3205685,7.4300676,350,0.64,Public
227,52.160118,12.779906,350,0.64,Public
228,51.739103,6.59518,350,0.64,Public
229,51.474082,7.151429,350,0.64,Public
230,48.516644,9.756946,350,0.64,Public
231,48.22361888,10.09772365,350,0.64,Public
232,48.41161,10.9149,350,0.64,Public
233,49.24283,10.35307,350,0.64,Public
234,49.24107,10.35577,350,0.64,Public
235,50.64766,7.33452,350,0.64,Public
236,49.92578,7.9368,350,0.64,Public
237,49.16125,8.56723,350,0.64,Public
238,48.58429,10.179,350,0.64,Public
239,48.58394,10.1756,350,0.64,Public
240,50.62294,8.89485,350,0.64,Public
241,52.17393,11.49511,350,0.64,Public
242,52.53923,8.1146,350,0.64,Public
243,52.54076,8.1127,350,0.64,Public
244,47.90652,11.71753,350,0.64,Public
245,48.93175,12.70825,350,0.64,Public
246,48.93104,12.70542,350,0.64,Public
247,49.78085,10.2448,350,0.64,Public
248,49.77935,10.24649,350,0.64,Public
249,48.05927,10.84679,350,0.64,Public
250,48.05833,10.84769,350,0.64,Public
251,51.69585,7.9662,350,0.64,Public
252,52.31818,13.49471,350,0.64,Public
253,51.29015,12.1376,350,0.64,Public
254,50.07019,6.88091,350,0.64,Public
255,50.06849,6.88021,350,0.64,Public
256,50.44153,7.22399,350,0.64,Public
257,49.48556,10.21327,350,0.64,Public
258,49.48439,10.21199,350,0.64,Public
259,48.58807,13.36667,350,0.64,Public
260,48.69253,12.67298,350,0.64,Public
261,51.15841,7.23033,350,0.64,Public
262,50.05471,8.90818,350,0.64,Public
263,47.80284,12.1785,350,0.64,Public
264,51.45097,11.30515,350,0.64,Public
265,50.85675,12.3132,350,0.64,Public
266,51.15681,6.9648,350,0.64,Public
267,51.15806,6.96168,350,0.64,Public
268,53.85567,13.33334,350,0.64,Public
269,49.53236,12.13491,350,0.64,Public
270,53.89322,11.5131,350,0.64,Public
271,53.50187,11.08761,350,0.64,Public
272,52.43771,10.80907,350,0.64,Public
273,54.0811003,12.1935959,350,0.64,Public
274,51.63650139,12.20017854,350,0.64,Public
275,51.00809097,9.48202705,350,0.64,Public
276,48.83656188,11.47236615,350,0.64,Public
277,49.31294988,11.4747197,350,0.64,Public
278,51.40211133,9.18425316,350,0.64,Public
279,52.31926423,13.5951679,400,0.395,Public
280,51.08320808,13.68098637,400,0.395,Public
281,50.81922122,12.85762219,400,0.395,Public
282,53.86870963,10.61081803,400,0.395,Public
283,50.58398729,8.64579699,400,0.395,Public
284,51.50265044,7.25610733,400,0.395,Public
285,51.49831243,6.99681758,400,0.395,Public
286,49.98927377,6.91417409,400,0.395,Public
287,49.96157215,8.25540292,400,0.395,Public
288,50.38983491,7.56705501,400,0.395,Public
289,50.12909145,8.58506034,400,0.395,Public
290,48.84900839,9.11315611,400,0.395,Public
291,49.02132085,8.45943111,400,0.395,Public
292,48.22424014,11.48006999,400,0.395,Public
293,52.33751868,14.06727877,400,0.395,Public
294,49.96902,11.60882,400,0.395,Public
295,49.17163971,10.2404404,300,0.59,Public
296,50.80315689,11.8944507,300,0.59,Public
297,54.05492393,12.63069601,300,0.39,Public
298,51.26832892,9.52314425,300,0.39,Public
299,50.58132994,9.70660085,400,0.39,Public
300,51.84998472,12.34321362,400,0.395,Public
301,50.88921486,11.86982305,400,0.395,Public
302,50.05808949,11.60886987,400,0.395,Public
303,49.17529056,9.96224227,400,0.395,Public
304,50.34693203,7.50639945,400,0.395,Public
305,51.59290907,7.22213528,400,0.395,Public
306,50.48960047,7.75400719,400,0.395,Public
307,53.31457823,8.67052108,350,0.39,Public
308,52.5115063,11.7431072,350,0.39,Public
309,52.38939,9.5785378,350,0.39,Public
310,52.3168195,13.6697169,350,0.39,Public
311,52.28191617,10.9261838,350,0.39,Public
312,52.25161571,10.98825243,350,0.39,Public
313,52.1599305,12.7805477,350,0.39,Public
314,52.05099572,11.4664477,350,0.39,Public
315,51.8158293,12.2986844,350,0.39,Public
316,51.6468051,12.2347483,350,0.39,Public
317,51.4578858,11.0217204,350,0.39,Public
318,51.2653939,6.99189704,350,0.39,Public
319,51.2187742,12.7537203,350,0.39,Public
320,51.18051381,14.3642559,350,0.39,Public
321,51.1421237,9.3900718,350,0.39,Public
322,50.8920387,10.8431387,350,0.39,Public
323,49.1423079,9.2148545,350,0.39,Public
324,48.82975134,8.8724939,350,0.39,Public
325,48.81027805,11.46752714,350,0.39,Public
326,48.3939331,11.0707723,350,0.39,Public
327,48.3817656,13.3147359,350,0.39,Public
328,52.373207,10.7510092,350,0.39,Public
329,51.70084286,8.74481749,350,0.39,Public
330,48.30975461,11.64364556,350,0.39,Public
331,49.55415461,8.39932862,300,0.79,Public
332,49.54935221,8.39732477,150,0.79,Public
333,52.60271454,13.51442432,350,0.64,Public
334,53.51860455,10.0228434,360,0.64,Public
335,53.2931196,9.5034501,350,0.64,Public
336,53.4973212,8.6231446,300,0.64,Public
337,53.01859665,9.06937313,350,0.64,Public
338,52.44857865,9.70461574,300,0.64,Public
339,51.2720492,9.5271754,300,0.64,Public
340,50.8388443,9.57468128,300,0.64,Public
341,52.30188751,7.95364714,350,0.64,Public
342,50.38060658,7.57758138,300,0.64,Public
343,51.6433985,7.8443992,300,0.64,Public
344,49.9035415,8.5235913,300,0.64,Public
345,50.0340916,8.4808714,300,0.64,Public
346,48.46524861,9.92299615,300,0.64,Public
347,49.9814213,10.55513356,300,0.64,Public
348,50.15958062,7.5892248,360,0.64,Public
349,47.88621788,8.36099839,360,0.64,Public
350,50.91272956,9.57688381,300,0.64,Public
351,50.79758,6.10896,350,0.64,Public
352,53.94674,10.30373,350,0.64,Public
353,48.53218,9.13791,350,0.64,Public
354,51.16521,12.26336,350,0.64,Public
355,54.10987,12.1683,350,0.64,Public
356,51.40286,9.1836,350,0.64,Public
357,51.30812,7.25231,350,0.64,Public
358,51.4705511,13.8687592,300,0.64,Public
359,50.97135466,11.87583715,300,0.64,Public
360,53.1531419,12.4826252,300,0.64,Public
361,53.36138316,12.49703547,350,0.64,Public
362,52.24977875,8.03879833,350,0.64,Public
363,52.7261341,8.1790402,350,0.64,Public
364,50.347001,7.506528,300,0.64,Public
365,49.200449,7.748057,150,0.64,Public
366,49.18815955,9.218707,350,0.64,Public
367,48.9328176,8.8003687,350,0.64,Public
368,48.389806,11.066419,300,0.64,Public
369,52.65827085,8.16810908,360,0.64,Public
370,50.98726,13.27456,350,0.64,Public
371,50.55143319,11.789094,400,0.49,Public
372,51.4890716,10.82949736,300,0.49,Public
373,50.90075897,11.44599666,400,0.49,Public
374,51.01228727,11.03987158,300,0.49,Public
375,50.89294519,11.87525503,350,0.25,Private
376,51.39321621,12.39979296,350,0.25,Private
377,48.95722118,8.84739467,350,0.25,Private
378,49.90700459,10.86711701,350,0.25,Private
379,50.93821342,13.06425416,350,0.25,Private
380,49.01178863,12.16164943,350,0.25,Private
381,48.83206922,9.16351709,350,0.25,Private
382,48.27534194,8.63704836,350,0.25,Private
383,48.24517101,11.62839644,350,0.25,Private
384,51.44897046,12.12845,350,0.25,Private
385,51.39321863,12.39979221,350,0.25,Private
386,48.19239099,11.57913195,350,0.25,Private
387,48.88412216,9.07334546,350,0.25,Private
388,48.28818335,11.57588295,350,0.25,Private
389,49.50512532,10.87459899,350,0.25,Private
